GAME_DATE_EST,GAME_ID,GAME_STATUS_TEXT,HOME_TEAM_ID,VISITOR_TEAM_ID,SEASON,TEAM_ID_home,PTS_home,HOME_TEAM_WINS
2020-03-01,21900895,Final,1610612766,1610612749,2019,1610612766,85,0
2020-03-01,21900896,Final,1610612750,1610612742,2019,1610612750,91,0
2020-03-01,21900897,Final,1610612746,1610612755,2019,1610612746,136,1
2020-03-01,21900898,Final,1610612743,1610612761,2019,1610612743,133,1
2020-03-01,21900899,Final,1610612758,1610612765,2019,1610612758,106,1
2020-03-01,21900900,Final,1610612740,1610612747,2019,1610612740,114,0
2020-03-01,21900901,Final,1610612744,1610612764,2019,1610612744,110,0
2020-02-29,21900887,Final,1610612752,1610612741,2019,1610612752,125,1
2020-02-29,21900888,Final,1610612737,1610612757,2019,1610612737,129,1
2020-02-29,21900889,Final,1610612748,1610612751,2019,1610612748,116,1
2020-02-29,21900890,Final,1610612739,1610612754,2019,1610612739,104,0
2020-02-29,21900891,Final,1610612763,1610612747,2019,1610612763,105,1
2020-02-29,21900892,Final,1610612738,1610612745,2019,1610612738,110,0
2020-02-29,21900893,Final,1610612759,1610612753,2019,1610612759,114,1
2020-02-29,21900894,Final,1610612756,1610612744,2019,1610612756,99,0
2020-02-28,21900877,Final,1610612753,1610612750,2019,1610612753,136,1
2020-02-28,21900878,Final,1610612737,1610612751,2019,1610612737,141,1
2020-02-28,21900879,Final,1610612761,1610612766,2019,1610612761,96,0
2020-02-28,21900880,Final,1610612748,1610612742,2019,1610612748,126,1
2020-02-28,21900881,Final,1610612763,1610612758,2019,1610612763,101,0
2020-02-28,21900882,Final,1610612749,1610612760,2019,1610612749,133,1
2020-02-28,21900883,Final,1610612740,1610612739,2019,1610612740,116,1
2020-02-28,21900884,Final,1610612756,1610612765,2019,1610612756,111,0
2020-02-28,21900885,Final,1610612762,1610612764,2019,1610612762,129,1
2020-02-28,21900886,Final,1610612746,1610612743,2019,1610612746,132,1
2020-02-27,21900873,Final,1610612755,1610612752,2019,1610612755,115,1
2020-02-27,21900874,Final,1610612754,1610612757,2019,1610612754,106,1
2020-02-27,21900875,Final,1610612760,1610612758,2019,1610612760,112,1
2020-02-27,21900876,Final,1610612744,1610612747,2019,1610612744,86,0
2020-02-26,21900864,Final,1610612766,1610612752,2019,1610612766,107,1
2020-02-26,21900865,Final,1610612739,1610612755,2019,1610612739,108,1
2020-02-26,21900866,Final,1610612764,1610612751,2019,1610612764,110,1
2020-02-26,21900867,Final,1610612737,1610612753,2019,1610612737,120,0
2020-02-26,21900868,Final,1610612748,1610612750,2019,1610612748,126,0
2020-02-26,21900870,Final,1610612745,1610612763,2019,1610612745,140,1
2020-02-26,21900869,Final,1610612759,1610612742,2019,1610612759,103,0
2020-02-26,21900871,Final,1610612756,1610612746,2019,1610612756,92,0
2020-02-26,21900872,Final,1610612762,1610612738,2019,1610612762,103,0
2020-02-25,21900857,Final,1610612754,1610612766,2019,1610612754,119,1
2020-02-25,21900858,Final,1610612761,1610612749,2019,1610612761,97,0
2020-02-25,21900859,Final,1610612741,1610612760,2019,1610612741,122,0
2020-02-25,21900860,Final,1610612743,1610612765,2019,1610612743,115,1
2020-02-25,21900861,Final,1610612747,1610612740,2019,1610612747,118,1
2020-02-25,21900862,Final,1610612757,1610612738,2019,1610612757,106,0
2020-02-25,21900863,Final,1610612744,1610612758,2019,1610612744,94,0
2020-02-24,21900849,Final,1610612739,1610612748,2019,1610612739,125,1
2020-02-24,21900850,Final,1610612755,1610612737,2019,1610612755,129,1
2020-02-24,21900851,Final,1610612764,1610612749,2019,1610612764,134,0
2020-02-24,21900852,Final,1610612751,1610612753,2019,1610612751,113,0
2020-02-24,21900853,Final,1610612745,1610612752,2019,1610612745,123,1
2020-02-24,21900854,Final,1610612742,1610612750,2019,1610612742,139,1
2020-02-24,21900855,Final,1610612762,1610612756,2019,1610612762,111,0
2020-02-24,21900856,Final,1610612746,1610612763,2019,1610612746,124,1
2020-02-23,21900842,Final,1610612747,1610612738,2019,1610612747,114,1
2020-02-23,21900843,Final,1610612761,1610612754,2019,1610612761,127,1
2020-02-23,21900844,Final,1610612743,1610612750,2019,1610612743,128,1
2020-02-23,21900845,Final,1610612741,1610612764,2019,1610612741,126,1
2020-02-23,21900846,Final,1610612760,1610612759,2019,1610612760,131,1
2020-02-23,21900847,Final,1610612744,1610612740,2019,1610612744,101,0
2020-02-23,21900848,Final,1610612757,1610612765,2019,1610612757,107,1
2020-02-22,21900835,Final,1610612746,1610612758,2019,1610612746,103,0
2020-02-22,21900836,Final,1610612766,1610612751,2019,1610612766,86,0
2020-02-22,21900837,Final,1610612737,1610612742,2019,1610612737,111,1
2020-02-22,21900838,Final,1610612748,1610612739,2019,1610612748,124,1
2020-02-22,21900839,Final,1610612741,1610612756,2019,1610612741,104,0
2020-02-22,21900840,Final,1610612749,1610612755,2019,1610612749,119,1
2020-02-22,21900841,Final,1610612762,1610612745,2019,1610612762,110,0
2020-02-21,21900826,Final,1610612753,1610612742,2019,1610612753,106,0
2020-02-21,21900827,Final,1610612764,1610612739,2019,1610612764,108,0
2020-02-21,21900828,Final,1610612752,1610612754,2019,1610612752,98,0
2020-02-21,21900829,Final,1610612761,1610612756,2019,1610612761,118,1
2020-02-21,21900830,Final,1610612750,1610612738,2019,1610612750,117,0
2020-02-21,21900831,Final,1610612760,1610612743,2019,1610612760,113,1
2020-02-21,21900832,Final,1610612762,1610612759,2019,1610612762,104,0
2020-02-21,21900833,Final,1610612747,1610612763,2019,1610612747,117,1
